Rk,Player,OPS+,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+_2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
140,Barry Bonds,183,474,1994,29,SFG,NL,112,474,391,89,122,66,18,1,37,81,29,9,74,43,0.312,0.426,0.647,1.073,183,253,3,6,0,3,18,*7/H,bondsba01
141,Jimmie Foxx,183,685,1938,30,BOS,AL,149,685,565,139,197,105,33,9,50,175,5,4,119,76,0.349,0.462,0.704,1.166,183,398,,0,1,,12,*3,foxxji01
142,Roger Connor,183,526,1886,28,NYG,NL,118,526,485,105,172,116,29,20,7,71,17,,41,15,0.355,0.405,0.54,0.945,183,262,,,,,,*3,connoro01
143,Henry Aaron,183,693,1959,25,MLN,NL,154,693,629,116,223,131,46,7,39,123,8,0,51,54,0.355,0.401,0.636,1.037,183,400,19,4,0,9,17,*98/5,aaronha01
144,Tris Speaker,182,695,1923,35,CLE,AL,150,695,574,133,218,131,59,11,17,130,8,9,93,15,0.38,0.469,0.61,1.079,182,350,,4,22,,,*8,speaktr01
145,Sam Thompson,182,502,1894,34,PHI,NL,102,502,451,114,187,114,32,28,13,149,27,,42,13,0.415,0.466,0.696,1.162,182,314,,1,8,,,*O,thompsa01
146,José Bautista,182,655,2011,30,TOR,AL,149,655,513,105,155,86,24,2,43,103,9,5,132,111,0.302,0.447,0.608,1.056,182,312,8,6,0,4,24,*95/D,bautijo02
147,Pedro Guerrero,182,581,1985,29,LAD,NL,137,581,487,99,156,99,22,2,33,87,12,4,83,68,0.32,0.422,0.577,0.999,182,281,13,6,0,5,14,7538/H9,guerrpe01
148,Babe Ruth,182,496,1922,27,NYY,AL,110,496,406,94,128,61,24,8,35,96,2,5,84,80,0.315,0.434,0.672,1.106,182,273,,1,4,,,*79/3,ruthba01
149,Tris Speaker,182,611,1913,25,BOS,AL,141,611,520,94,189,129,35,22,3,71,46,,65,22,0.363,0.441,0.533,0.974,182,277,,7,16,,,*8/H,speaktr01
150,Mike Trout,182,600,2019,27,LAA,AL,134,600,470,110,137,63,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,182,303,5,16,0,4,14,*8D/H,troutmi01
151,Jimmie Foxx,182,649,1935,27,PHA,AL,147,649,535,118,185,109,33,7,36,115,6,4,114,99,0.346,0.461,0.636,1.096,182,340,,0,0,,13,*32/5,foxxji01
152,George Sisler,182,692,1920,27,SLB,AL,154,692,631,137,257,171,49,18,19,122,42,17,46,19,0.407,0.449,0.632,1.082,182,399,,2,13,,,*3/1,sislege01
153,Willie McCovey,182,638,1970,32,SFG,NL,152,638,495,98,143,63,39,2,39,126,0,0,137,75,0.289,0.444,0.612,1.056,182,303,13,3,0,3,40,*3/H,mccovwi01
154,Joe Medwick,182,677,1937,25,STL,NL,156,677,633,111,237,140,56,10,31,154,4,5,41,50,0.374,0.414,0.641,1.056,182,406,11,2,1,,13,*7,medwijo01
155,Bobby Murcer,181,624,1971,25,NYY,AL,146,624,529,94,175,119,25,6,25,94,14,8,91,60,0.331,0.427,0.543,0.969,181,287,9,0,1,3,13,*8/H,murcebo01
156,Frank Thomas,181,649,1997,29,CHW,AL,146,649,530,110,184,114,35,0,35,125,1,1,109,69,0.347,0.456,0.611,1.067,181,324,15,3,0,7,9,3D,thomafr04
157,Dick Allen,181,599,1966,24,PHI,NL,141,599,524,112,166,91,25,10,40,110,10,6,68,136,0.317,0.396,0.632,1.027,181,331,9,3,0,4,13,57/H,allendi01
158,Lou Gehrig,181,708,1932,29,NYY,AL,156,708,596,138,208,123,42,9,34,151,4,11,108,38,0.349,0.451,0.621,1.072,181,370,,3,1,,7,*3,gehrilo01
159,Cy Seymour,181,646,1905,32,CIN,NL,149,646,581,95,219,150,40,21,8,121,21,,51,29,0.377,0.429,0.559,0.988,181,325,,2,9,,,*8,seymocy01
160,Travis Hafner,181,564,2006,29,CLE,AL,129,564,454,100,140,66,31,1,42,117,0,0,100,111,0.308,0.439,0.659,1.097,181,299,10,7,0,2,16,*D/3H,hafnetr01
161,Carlos Delgado,181,711,2000,28,TOR,AL,162,711,569,115,196,97,57,1,41,137,0,1,123,104,0.344,0.47,0.664,1.134,181,378,12,15,0,4,18,*3,delgaca01
162,Jesse Burkett,180,676,1901,32,STL,NL,142,676,601,142,226,181,20,15,10,75,27,,59,70,0.376,0.44,0.509,0.949,180,306,,10,3,,,*7,burkeje01
163,Benny Kauff,180,581,1915,25,BTT,FL,136,581,483,92,165,119,23,11,12,83,55,,85,50,0.342,0.446,0.509,0.955,180,246,,6,7,,,*8,kauffbe01
164,Cap Anson,180,559,1886,34,CHC,NL,125,559,504,117,187,131,35,11,10,147,29,,55,19,0.371,0.433,0.544,0.977,180,274,,,,,,*32,ansonca01
165,Harry Heilmann,180,596,1927,32,DET,AL,141,596,505,106,201,128,50,9,14,120,11,11,72,16,0.398,0.475,0.616,1.091,180,311,,2,17,,4,*9/H,heilmha01
